Nome,Diretor,Nota,Gênero
Warfare,Alex Garland,3.4,"Ação,Drama,Guerra"
Extremely Loud and Incredibly Close,Stephen Daldry,4.0,"Aventura,Drama,Mistério"
The Matrix,Lana Wachowski,4.3,"Ação,Aventura,Ficção Científica "
Britain And The Blitz,Ella Wright,3.4,"Documentário,Guerra"
Law Abiding Citizen,F. Gary Gray,4.0,"Drama,Policial,Thriller"
The Town,Ben Affleck,3.6,"Drama,Policial,Thriller"
Conspiracy,Frank Pierson,3.7,"Biografia,Drama,Guerra,História"
The Girl with the Dragon Tattoo,David Fincher,4.2,"Drama,Mistério,Suspense"
Homem com H,Esmir Filho,4.4,"Biografia,Drama,Música,Nacional"
Sinners,Ryan Coogler,4.2,"Ação,Drama,Terror,Thriller"
Gridiron Gang,Phil Joanou,3.7,"Biografia,Drama,Esporte,Policial"
Miss Evers' Boys,Joseph Sargent,3.7,"Drama,Guerra"
Wartorn: 1861-2010,Ellen Goosenberg Kent,4.3,"Documentário,Guerra"
Elijo Creer,Martín Méndez,4.0,Documentário
The Doors,Oliver Stone,4.0,"Biografia,Drama,Música"
"LaRoy, Texas",Shane Atkinson,3.2,"Comédia,Thriller"
Breakdown,Jonathan Mostow,3.4,"Mistério,Policial,Thriller"
Black Bag,Steven Soderbergh,3.2,"Drama,Romance,Thriller"
Mickey 17,Bong Joon-ho,3.4,"Aventura,Comédia,Fantasia,Ficção Científica "
Something the Lord Made,Joseph Sargent,4.2,"Biografia,Drama"
Terra Estrangeira,Daniela Thomas,4.1,"Drama,Nacional,Policial"
L'Argent,Robert Bresson,3.8,Drama
A Real Pain,Jesse Eisenberg,3.5,"Comédia,Drama"
A Complete Unknown,James Mangold,3.5,"Biografia,Drama,Música"
Unleashed,Louis Leterrier,3.6,"Ação,Drama,Policial,Suspense"
Olga,Jayme Monjardim,3.8,"Biografia,Drama,Guerra,Nacional"
Nr. 24,John Andreas Andersen,3.7,"Biografia,Drama,Guerra"
Isabella: O Caso Nardoni,Cláudio Manoel,3.1,"Documentário,Nacional"
Pigen med nålen,Magnus von Horn,4.0,"Drama,História,Policial"
Anora,Sean Baker (II),3.5,"Comédia,Drama,Romance"
Le Dernier Métro,François Truffaut,3.8,"Drama,Guerra,Romance"
Clockers,Spike Lee,3.6,"Drama,Mistério,Policial"
El Jockey,Luis Ortega,3.2,"Drama,Esporte"
Conclave,Edward Berger,3.9,"Drama,Suspense"
Le Doulos,Jean-Pierre Melville,4.0,"Policial,Thriller"
Cross of Iron,Sam Peckinpah,4.0,"Guerra,História"
The Wind That Shakes the Barley,Ken Loach,3.9,"Drama,Guerra"
Nosferatu,Robert Eggers,3.6,"Fantasia,Mistério,Terror"
28 Days Later,Danny Boyle,3.7,"Drama,Ficção Científica ,Terror,Thriller"
Carry-On,Jaume Collet-Serra,3.2,"Ação,Thriller"
PTU,Johnnie To,3.9,Policial
The Six Triple Eight,Tyler Perry,3.7,"Drama,Guerra"
Deep Cover,Bill Duke,3.8,"Ação,Policial,Thriller"
Juror #2,Clint Eastwood,3.6,"Drama,Thriller"
Hush,Jonathan Darby,3.0,"Drama,Suspense"
Joy,Ben Taylor (XXXVIII),3.7,"Biografia,Drama,História"
Winter's Bone,Debra Granik,3.5,"Drama,Mistério,Suspense"
Misery,Rob Reiner,4.1,"Drama,Suspense"
Gladiator II,Ridley Scott,3.3,"Ação,Aventura,Drama"
White Boy Rick,Yann Demange,3.4,"Drama,Policial"
Ainda Estou Aqui,Walter Salles,4.5,"Biografia,Drama,História,Nacional"
Yara,Marco Tullio Giordana,3.3,"Drama,Policial"
The Funeral,Abel Ferrara,3.7,"Drama,Policial"
The Apprentice,Ali Abbasi,3.5,"Biografia,Drama,História"
Woman of the Hour,Anna Kendrick (I),3.1,"Drama,Policial,Thriller"
Holocausto Brasileiro,Armando Mendz,4.3,"Documentário,Nacional"
São Paulo Sociedade Anônima,Luís Sérgio Person,4.2,"Drama,Nacional"
Lee,Ellen Kuras,3.5,"Biografia,Drama,Guerra,História"
Strange Darling,JT Mollner,3.5,"Policial,Terror,Thriller"
Bad Day at Black Rock,John Sturges,3.9,"Drama,Mistério,Policial"
Touch of Evil,Orson Welles,4.1,"Film-Noir,Policial,Suspense"
Blink Twice,Zoë Kravitz,3.5,"Mistério,Suspense"
弟弟,Sean Wang (III),3.7,"Comédia,Drama"
Last Train From Gun Hill,John Sturges,4.0,"Faroeste,Romance"
Retfærdighedens Ryttere,Anders Thomas Jensen,3.7,"Ação,Comédia,Drama,Thriller"
Sisu,Jalmari Helander,3.5,"Ação,Guerra"
Sinsegye,Park Hoon-jung,4.0,"Ação,Drama,Policial,Thriller"
Joker: Folie à Deux,Todd Phillips (I),2.6,"Drama,Musical,Policial,Super-herói,Thriller"
Inside Out 2,Kelsey Mann,4.0,"Animação,Aventura,Família"
모가디슈,Seung-wan Ryoo,3.8,"Ação,Drama"
Au Revoir Les Enfants,Louis Malle,4.2,"Biografia,Drama,Guerra"
Night and The City,Jules Dassin,4.2,"Film-Noir,Mistério,Policial"
Du Rififi Chez les Hommes,Jules Dassin,4.3,"Drama,Policial,Thriller"
Longlegs,Osgood Perkins (II),3.3,"Policial,Terror,Thriller"
Flammen & Citronen,Ole Christian Madsen,4.0,"Drama,História,Thriller"
Beetlejuice Beetlejuice,Tim Burton,3.5,"Comédia,Fantasia"
Monsieur Klein,Joseph Losey,4.0,"Drama,Guerra,Mistério,Thriller"
Das Lehrerzimmer,Ilker Çatak,3.8,Drama
The Old Oak,Ken Loach,3.7,Drama
Le cercle rouge,Jean-Pierre Melville,4.1,"Drama,Policial,Thriller"
